,CISS,Correlation_Effect,Money_Market_Contribution,Bond_Market_Contribution,Equity_Market_Contribution,FX_Market_Contribution,Financial_Intermediaries_Contribution
2024-05-31,0.39180803413292303,0.8971961321699061,0.09986840219701122,0.09241875922231527,0.04815276473499136,0.07708760991207138,0.07428049806653375
2024-06-03,0.38814193629309,0.8994588651967589,0.10012027079506643,0.10239327153744093,0.02662658012495821,0.03874925075095544,0.120252563084669
2024-06-04,0.46455094834603045,0.8998644244185343,0.09929911879564333,0.12106479259926851,0.061940126446137396,0.056309205860124896,0.12593770464485626
2024-06-05,0.417699960535089,0.9032231777378582,0.09738724034333587,0.12445132834053524,0.027824925812381676,0.04315037323248252,0.1248860928063537
2024-06-06,0.4192230384421873,0.9041638851426357,0.09748866920430826,0.12284007537016076,0.04493618346136084,0.05657824552035747,0.0973798648859999
2024-06-07,0.33902082000899353,0.9061637228287989,0.0951962611347222,0.11373390648741726,0.02017331994263873,0.03314967168952526,0.07676766075469008
2024-06-10,0.4449591775694569,0.9049463449834034,0.08973234515840248,0.1121654314480031,0.06523018780325618,0.08853446190992867,0.08929675124986654
2024-06-11,0.43172924151203446,0.9080410015097456,0.08708889027716815,0.1197608829909364,0.04414543497111159,0.06818502827221196,0.11254900500060627
2024-06-12,0.3747689580410497,0.9114223123561962,0.08631640912446768,0.11527134179137936,0.038277543563455176,0.04343239900036748,0.09147126456138001
2024-06-13,0.39270036933996066,0.9133333527050301,0.08913518039034651,0.11870036352845158,0.029894906370128545,0.038687525890754595,0.11628239316027943
2024-06-14,0.44660606751608345,0.9136623390100079,0.0891672872367168,0.13963311318203492,0.03837161929175605,0.07058618792351687,0.10884785988205872
2024-06-17,0.43580866648988215,0.9140762288063907,0.0892076800916947,0.13925637854017942,0.057748498209790035,0.0591784610226039,0.09041764862561412
2024-06-18,0.41209453681727765,0.9151538217401327,0.08777107050865053,0.13754839029523777,0.028082337490220686,0.048786178463402996,0.10990656005976567
2024-06-19,0.3873520304815648,0.9149787871807286,0.08929576370680758,0.14005451471647257,0.025874851382367177,0.05009811650628539,0.08202878416963212
2024-06-20,0.38775196209650337,0.9143640195862492,0.08923576653242458,0.1297274583745112,0.0410418506986367,0.0587569658795496,0.06898992061138128
2024-06-21,0.4234749313944148,0.9149965366322376,0.08929749593366364,0.1303677375899602,0.06430300570315606,0.06573440822737014,0.07377228394026467
2024-06-24,0.4401133106389851,0.9152506535059973,0.07819831094936922,0.13414865174131227,0.06255864875949538,0.05528950999518782,0.1099181891936204
2024-06-25,0.3855679976079678,0.9167582432395456,0.07766519894592541,0.13679665723430046,0.03982547843676005,0.04070803751569103,0.09057262547529085
2024-06-26,0.4044836685734415,0.917374259237254,0.07584068785752028,0.13788212392145974,0.028702443730648144,0.05309952090169907,0.10895889216211431
2024-06-27,0.3888835097509569,0.916772188944809,0.07501866287394347,0.1292968718945026,0.04854148774196342,0.034310006108524145,0.10171648113202335
2024-06-28,0.33776219722080003,0.9154611411953185,0.07480121719273422,0.13627261512137295,0.025337672981338544,0.02577832816362269,0.07557236376173149
2024-07-01,0.4394505484360418,0.9125022632442545,0.0745594508715823,0.1390165902848648,0.028769626109505987,0.0744496431383399,0.12265523803174881
2024-07-02,0.3933314962218518,0.910215743136616,0.08171130497953258,0.1403112354943448,0.05268517117313025,0.05958572373842589,0.059038060836418306
2024-07-03,0.3428700154158704,0.9053860273612592,0.07615701963002651,0.13368335205442422,0.02375140240249754,0.04085677018778247,0.0684214711411397
2024-07-04,0.33528761018271014,0.9031572254840585,0.08466419719038289,0.13661475721220961,0.01880219013342264,0.02706211181053317,0.06814435383616184
2024-07-05,0.363642653354999,0.9009750892605967,0.08435121774304986,0.13270680015101932,0.01929886472784431,0.03979035592763406,0.08749541480545146
2024-07-08,0.4295619312103899,0.9005195883850503,0.08539223052315521,0.13242297677575593,0.04908969597333669,0.054941447811217875,0.10771558012692421
2024-07-09,0.393361103587695,0.9012491786086972,0.08535296071781527,0.13253026429119474,0.030475453572688802,0.044357510716120006,0.1006449142898762
2024-07-10,0.3608447183947248,0.9015693354961402,0.07930772373618275,0.12682726271901182,0.036019376580591886,0.04545818911827711,0.07323216624066121
2024-07-11,0.2984559837517293,0.9015518811257253,0.07084396851685906,0.12194275744708968,0.02202346953893168,0.016165009661580392,0.0674807785872685
2024-07-12,0.37287738430178824,0.9002356372887449,0.07204051730409332,0.12252304521944292,0.06239900446189135,0.05449079729918638,0.0614240200171743
2024-07-15,0.4104173204328551,0.8994113746827599,0.07338157786220352,0.12544136982639217,0.03679902134682773,0.06916051364889093,0.10563483774854077
2024-07-16,0.38175683193486165,0.9004823370362474,0.08051244000215788,0.12764960204918166,0.03391708441544471,0.05277194923425421,0.08690575623382316
2024-07-17,0.3557534040735174,0.9015891393262974,0.07855000443709258,0.12466015897544114,0.05609164681488518,0.026689642391608807,0.06976195145448968
2024-07-18,0.3982524800042619,0.9005382609075963,0.07477393502120837,0.1288495778843721,0.05732668351625975,0.05754341955979949,0.07975886402262225
2024-07-19,0.4089320054312253,0.9006692194893938,0.07478480883846954,0.12984376954853116,0.06708956039277195,0.06871531710665171,0.06849854954480107
2024-07-22,0.37920516914000385,0.9005987297952076,0.07477895590357321,0.13232623935980128,0.07792183955749152,0.036847601459731726,0.05733053285940613
2024-07-23,0.3682565680226549,0.8966340698119722,0.0750971495293782,0.12796726916931397,0.042296095711948645,0.034419526867631674,0.08847652674438236
2024-07-24,0.38510694708749393,0.8981865647760522,0.07187654218725328,0.1295939459887469,0.06506718555898719,0.025724236151227497,0.09284503720127905
2024-07-25,0.4391581665228345,0.8990895205234674,0.07194880037883343,0.13502571860569043,0.09034172679146757,0.060480269792132176,0.0813616509547109
2024-07-26,0.37652813635444854,0.9009354486338803,0.06786830214738979,0.13573660429477957,0.048678702338942524,0.05149751361023986,0.07274701396309673
2024-07-29,0.3857361538007446,0.9006651975510501,0.06893177685228255,0.14599230097488144,0.04324493547808292,0.04010181986689394,0.08746532062860381
2024-07-30,0.46585610846506476,0.9011322768493222,0.06853376642223487,0.14899587826606125,0.08686004256995272,0.054436630923990356,0.10702979028282565
2024-07-31,0.37982998679769425,0.9049275201516165,0.06446655739226921,0.1484255366987549,0.04704316350246671,0.025481713563836137,0.09441301564036723
2024-08-01,0.41559000685007474,0.9047820164852295,0.06391179827639348,0.1537367277108477,0.053568321553638144,0.04093839208164216,0.10343476722755333
2024-08-02,0.5031811138598906,0.9074294826770162,0.06278844194215215,0.16663506504995512,0.12208257059361063,0.027736111744881126,0.12393892452929163
2024-08-05,0.6347014803761227,0.9026817220478484,0.07180175911836677,0.16760985524907704,0.16532871010310776,0.10232565369062255,0.1276355022149485
2024-08-06,0.5945074610677937,0.9010317347206575,0.06549015255972047,0.16686977614140697,0.10929482413940106,0.09053688309166656,0.1623158251355986
2024-08-07,0.5181572071314731,0.9006246373692826,0.06589407695794511,0.16278438090597627,0.10848679446530109,0.047469746229572306,0.13352220857267827
2024-08-08,0.5593862702720388,0.8987818843698068,0.06413690221796577,0.15780057392244867,0.14644412411994207,0.0710589287642555,0.1199457412474267
2024-08-09,0.5380916742859474,0.900250012747377,0.06510833425525556,0.15719166889247224,0.11017500156005808,0.04420000062586401,0.16141666895229748
2024-08-12,0.5844754169282074,0.8997759753007414,0.0633416300301966,0.164904790659811,0.11033354017225701,0.09041070269267379,0.15548475337326892
2024-08-13,0.5525645606066004,0.9021240665306186,0.08597861139497595,0.1676148686790945,0.12592826921486375,0.04917716030545972,0.12386565101220652
2024-08-14,0.567710401751715,0.9049824359402937,0.0870133533473279,0.16215629929182884,0.1086850145690028,0.043125516802930974,0.16673021774062452
2024-08-15,0.5679527499852626,0.9083308992258528,0.08143279421459211,0.15991433279993056,0.1294180246309759,0.057494831888423414,0.13969276645134054
2024-08-16,0.5241195722428822,0.9138551500919743,0.09699401232023121,0.15978718809670747,0.08368757752346481,0.028482368697210752,0.15516842560526786
2024-08-19,0.5540376105922208,0.9136837753564901,0.09697582308837839,0.16635421806430445,0.1490920817549219,0.037492920264327705,0.10412256742028836
2024-08-20,0.5319480636915178,0.9142685438007265,0.09703788876440925,0.167560889555777,0.10451926794352472,0.05699050609973242,0.10583951132807451
2024-08-21,0.6186802738352816,0.915135826908364,0.10263617216348922,0.16816033786872106,0.11717262573170872,0.0830339847760417,0.14767715329532086
2024-08-22,0.6072327622342553,0.9214945679632323,0.09869195733902249,0.1625645050101202,0.11410564505826308,0.09203856695661647,0.13983208787023296
2024-08-23,0.5299471836170511,0.9263485687542478,0.09731676299909248,0.15606353745558932,0.131093371462695,0.035560191748809276,0.10991331995086505
2024-08-26,0.5535646141762667,0.9274439402832209,0.09743183632578242,0.15981946118959958,0.12455203818966,0.07187411522772495,0.09988716324349972
2024-08-27,0.5932890184091918,0.9290054160505714,0.09994354295417703,0.1528219499086801,0.11984281660724581,0.08641650861697857,0.13426420032211028
2024-08-28,0.607081342654097,0.9328487347366021,0.10035701189585108,0.15255612882154543,0.1048472585131151,0.09889768174524026,0.15042326167834505
2024-08-29,0.5479248717974566,0.9357286651534863,0.09818957834101567,0.14976162751553995,0.13140738294032717,0.06654821192607828,0.10201807107449563
2024-08-30,0.5788687590535493,0.9356933257605511,0.09638429444657423,0.14998116846125803,0.09154256002928138,0.10494177853295233,0.13601895758348326
2024-09-02,0.4846671592834213,0.9379562397869656,0.09661739365314592,0.14853795566301406,0.07957390481947184,0.08747485990793002,0.07246304523985946
2024-09-03,0.490310637705712,0.938820598924992,0.09467288350170197,0.15274193137744757,0.09670642992536622,0.10111244717663875,0.04507694572455739
2024-09-04,0.542811559463348,0.9375938597257165,0.09906226339821651,0.160778730458381,0.14137245562410625,0.06340887474920011,0.07818923523344425
2024-09-05,0.5477688888436212,0.9371956899918655,0.10747863929750275,0.15992099740174073,0.11977157915419513,0.08142662914249424,0.0791710438476883
2024-09-06,0.5699079002801888,0.9374375794395026,0.11450049857173226,0.1564652133192046,0.13728778991310164,0.08708806393830278,0.07456633453784732
2024-09-09,0.604526329187281,0.9375912272389522,0.11880668619526075,0.14859297789093867,0.11925799364519526,0.10853944170925056,0.10932922974663596
2024-09-10,0.5540373166138931,0.938644261174608,0.12006965699501905,0.15384277782428596,0.11905307476270002,0.09589759058209896,0.06517421644978927
2024-09-11,0.58539185947624,0.9367622476887256,0.12106891143413855,0.15184341126795592,0.11610891878692992,0.06594535678675144,0.130425261200464
2024-09-12,0.5355406281423616,0.9367170321749156,0.12061218103816607,0.14574911222649414,0.07845427850706876,0.07484718524237595,0.11587787112825673
2024-09-13,0.49660767722186216,0.9366340893585278,0.12556081534842362,0.15137179085541552,0.09546679587083913,0.05545414825082982,0.06875412689635405
2024-09-16,0.569798085107802,0.9352206374177037,0.1253713345467295,0.15238131685482204,0.0997118513540416,0.09352206374177038,0.09881151861043849
2024-09-17,0.568060573890204,0.9375537972249443,0.12568410711294684,0.15332558488913353,0.0968015833957885,0.09725287282886909,0.09499642566346608
2024-09-18,0.5571753108280566,0.9395549579913046,0.12301273096203848,0.14822581828238274,0.09610369606409255,0.09463387483017113,0.09519919068937169
2024-09-19,0.4684567400333388,0.9414451051214136,0.11861528580771602,0.13243674222466095,0.08881985107282653,0.06287629763446266,0.06570856329367268
