,MM1,MM2,MM3,BD1,BD2,BD3,EQ1,EQ2,EQ3,FX1,FX2,FX3,FI1,FI2,FI3
2024-05-24,0.9887640449438202,0.4606741573033708,0.3595505617977528,0.8764044943820225,0.4157303370786517,0.3258426966292135,0.7752808988764045,0.011235955056179775,0.056179775280898875,0.8089887640449438,0.2247191011235955,0.02247191011235955,0.7303370786516854,1.0,0.7191011235955056
2024-05-31,1.0,0.550561797752809,0.2696629213483146,0.8202247191011236,0.39325842696629215,0.47191011235955055,0.8314606741573034,0.0898876404494382,0.06741573033707865,0.8426966292134831,0.3595505617977528,0.011235955056179775,0.8089887640449438,0.9887640449438202,0.11235955056179775
2024-06-07,0.9887640449438202,0.4157303370786517,0.15730337078651685,0.9438202247191011,0.4943820224719101,0.5056179775280899,0.19101123595505617,0.06741573033707865,0.0898876404494382,0.12359550561797752,0.25842696629213485,0.033707865168539325,0.797752808988764,0.9775280898876404,0.9775280898876404
2024-06-14,0.9887640449438202,0.38202247191011235,0.15730337078651685,0.9775280898876404,0.5730337078651685,0.7528089887640449,0.42696629213483145,0.02247191011235955,0.11235955056179775,0.7752808988764045,0.19101123595505617,0.0449438202247191,0.7865168539325843,0.9662921348314607,0.8651685393258427
2024-06-21,0.9887640449438202,0.38202247191011235,0.15730337078651685,0.9213483146067416,0.6741573033707865,0.5730337078651685,0.48314606741573035,0.056179775280898875,0.011235955056179775,0.7078651685393258,0.16853932584269662,0.06741573033707865,0.9213483146067416,0.6404494382022472,0.29213483146067415
2024-06-28,0.9887640449438202,0.3258426966292135,0.12359550561797752,0.9101123595505618,0.6404494382022472,0.6966292134831461,0.5842696629213483,0.033707865168539325,0.02247191011235955,0.15730337078651685,0.1348314606741573,0.056179775280898875,0.8876404494382022,0.6179775280898876,0.4943820224719101
2024-07-05,0.9325842696629213,0.5168539325842697,0.1797752808988764,0.8651685393258427,0.7078651685393258,0.7078651685393258,0.3146067415730337,0.07865168539325842,0.0449438202247191,0.5955056179775281,0.02247191011235955,0.07865168539325842,0.7640449438202247,0.6966292134831461,0.2247191011235955
2024-07-12,0.9213483146067416,0.25842696629213485,0.11235955056179775,0.9550561797752809,0.7191011235955056,0.4157303370786517,0.6966292134831461,0.0449438202247191,0.033707865168539325,0.3146067415730337,0.011235955056179775,0.0898876404494382,0.7752808988764045,0.6853932584269663,0.5168539325842697
2024-07-19,0.8764044943820225,0.14606741573033707,0.16853932584269662,0.9325842696629213,0.6853932584269663,0.5842696629213483,0.8539325842696629,0.10112359550561797,0.07865168539325842,0.8314606741573034,0.056179775280898875,0.10112359550561797,0.8764044943820225,0.6741573033707865,0.42696629213483145
2024-07-26,0.8089887640449438,0.06741573033707865,0.19101123595505617,0.898876404494382,0.7640449438202247,0.6853932584269663,0.8651685393258427,0.14606741573033707,0.10112359550561797,0.30337078651685395,0.0449438202247191,0.11235955056179775,0.8651685393258427,0.6292134831460674,0.07865168539325842
2024-08-02,0.797752808988764,0.033707865168539325,0.10112359550561797,1.0,0.8202247191011236,0.9213483146067416,0.8426966292134831,0.5617977528089888,0.12359550561797752,0.10112359550561797,0.10112359550561797,0.12359550561797752,0.9101123595505618,0.651685393258427,0.5056179775280899
2024-08-09,0.7865168539325843,0.07865168539325842,0.0898876404494382,0.9662921348314607,0.8089887640449438,0.9101123595505618,0.9101123595505618,0.8089887640449438,0.1348314606741573,0.5842696629213483,0.3707865168539326,0.1797752808988764,0.9662921348314607,0.6629213483146067,0.3258426966292135
