,CISS,Correlation_Effect,Money_Market_Contribution,Bond_Market_Contribution,Equity_Market_Contribution,FX_Market_Contribution,Financial_Intermediaries_Contribution
2024-05-24,0.12953108969209298,0.24952958836788475,0.1205992509363296,0.10786516853932585,0.05617977528089888,0.07041198501872659,0.16404494382022472
2024-05-31,0.22340148638433385,0.43988345770366605,0.12134831460674159,0.11235955056179776,0.06591760299625468,0.08089887640449439,0.12734082397003746
2024-06-07,0.24289105699507643,0.5188152977414832,0.10411985018726594,0.12958801498127342,0.023220973782771534,0.02771535580524345,0.18352059925093633
2024-06-14,0.30027734424212826,0.5614429335619624,0.10187265917602997,0.15355805243445692,0.03745318352059925,0.06741573033707865,0.17453183520599252
2024-06-21,0.2833494610161054,0.6033038763261573,0.10187265917602997,0.14456928838951308,0.03670411985018727,0.06292134831460673,0.12359550561797755
2024-06-28,0.2785026686142344,0.6259277148148196,0.09588014981273409,0.149812734082397,0.04269662921348315,0.023220973782771534,0.13333333333333333
2024-07-05,0.2875528591391855,0.6408732336407555,0.10861423220973783,0.15205992509363297,0.029213483146067417,0.04644194756554307,0.11235955056179776
2024-07-12,0.28682109774478437,0.6556612422761765,0.08614232209737828,0.1393258426966292,0.05168539325842697,0.02771535580524345,0.13258426966292133
2024-07-19,0.32842643258806586,0.6663363031991912,0.07940074906367042,0.14681647940074907,0.06891385767790263,0.0659176029962547,0.13183520599250936
2024-07-26,0.2980909904661716,0.6814237538909915,0.07116104868913857,0.15655430711610488,0.07415730337078652,0.03071161048689139,0.1048689138576779
2024-08-02,0.34974897060789173,0.6907024789371825,0.062172284644194754,0.18277153558052436,0.10187265917602997,0.020973782771535582,0.13857677902621723
2024-08-09,0.4044524264110265,0.7067329702339271,0.06367041198501873,0.17902621722846446,0.12359550561797752,0.07565543071161049,0.1303370786516854
2024-08-16,0.3484801880802506,0.7303313203879661,0.08764044943820225,0.17827715355805243,0.044194756554307116,0.026217228464419474,0.14082397003745317
2024-08-23,0.337334629561876,0.7431381690843306,0.07790262172284645,0.17453183520599252,0.08464419475655431,0.034456928838951316,0.08239700374531835
