,CISS,Correlation_Effect,Money_Market_Contribution,Bond_Market_Contribution,Equity_Market_Contribution,FX_Market_Contribution,Financial_Intermediaries_Contribution
2024-01-30,0.15955665016575682,0.2889532018245718,0.05075328404662794,0.04631034480420747,0.0166366994989905,0.01806362889071678,0.027792692925214153
2024-01-31,0.23988717388263664,0.4769905644486258,0.08324582802666816,0.07816007004433152,0.022323800827730302,0.017559248612699134,0.03859822637120755
2024-02-01,0.2870631203551686,0.539605992060032,0.09580883046453095,0.09423422263135914,0.0090842759606066,0.038093397194810356,0.04984239410386155
2024-02-02,0.3101104490680914,0.5858956957584169,0.10435650607952951,0.10166046527974329,0.020647727100801677,0.028472821129449453,0.05497292947856753
2024-02-05,0.37924563853431487,0.6220689689507999,0.10346871066050344,0.10353852760426896,0.05697062611266585,0.019129842591752995,0.09613793156512364
2024-02-06,0.4467914355016921,0.671090979487538,0.11162254002250635,0.1096642498466729,0.060179763480420104,0.060857633156670136,0.1044672489954226
2024-02-07,0.38498283614078654,0.7162658321182724,0.1150366336432377,0.11423274382043383,0.04011410215791448,0.029824312426024593,0.08577504409317585
2024-02-08,0.3789167152877499,0.7341047908705917,0.1001875898651672,0.11608907411185901,0.05338943933604304,0.029743190741221507,0.07950742123345916
2024-02-09,0.4272947408048043,0.7482696817159602,0.10010521443382993,0.11589362073715209,0.06357352963624938,0.044845792372202334,0.10287658362537054
2024-02-12,0.43950824075889994,0.7690531078479572,0.09969206953584632,0.12291039568748499,0.06516667748879998,0.04609139838280687,0.10564769966396184
2024-02-13,0.43495946971133925,0.7864222555048767,0.09497085824054403,0.12250887661512559,0.047838480637894865,0.05163378445234039,0.11800746976543437
2024-02-14,0.46402162085653165,0.7983071330047686,0.08574409947088257,0.12471869013946557,0.08422095454820232,0.047575879643718545,0.12176199705426272
2024-02-15,0.48461266885969256,0.8082925644964168,0.08854024051049417,0.12945381476278192,0.07366257714602588,0.06912670416905385,0.1238293322713366
