,MM1,MM2,MM3,BD1,BD2,BD3,EQ1,EQ2,EQ3,FX1,FX2,FX3,FI1,FI2,FI3
2024-01-30,0.9461279461279462,0.7643097643097643,0.9242424242424242,0.8888888888888888,0.7407407407407407,0.7744107744107744,0.6464646464646465,0.15488215488215487,0.06228956228956229,0.5050505050505051,0.29292929292929293,0.13973063973063973,0.8131313131313131,0.2946127946127946,0.335016835016835
2024-01-31,0.9461279461279462,0.7474747474747475,0.9242424242424242,0.8787878787878788,0.7525252525252525,0.8265993265993266,0.6414141414141414,0.05218855218855219,0.008417508417508417,0.12626262626262627,0.2946127946127946,0.13131313131313133,0.8552188552188552,0.29124579124579125,0.06734006734006734
2024-02-01,0.9646464646464646,0.7710437710437711,0.9276094276094277,0.9393939393939394,0.7592592592592593,0.9208754208754208,0.10774410774410774,0.12289562289562289,0.021885521885521887,0.6835016835016835,0.2474747474747475,0.12794612794612795,0.9074074074074074,0.4595959595959596,0.018518518518518517
2024-02-02,0.9646464646464646,0.7895622895622896,0.9175084175084175,0.9966329966329966,0.7845117845117845,0.8215488215488216,0.037037037037037035,0.4158249158249158,0.07575757575757576,0.3400673400673401,0.25757575757575757,0.13131313131313133,0.7912457912457912,0.5505050505050505,0.06565656565656566
2024-02-05,0.9646464646464646,0.6397306397306397,0.8905723905723906,0.9696969696969697,0.67003367003367,0.8569023569023569,0.8501683501683501,0.43265993265993263,0.09090909090909091,0.10101010101010101,0.29124579124579125,0.06902356902356903,0.7255892255892256,0.7272727272727273,0.8653198653198653
2024-02-06,0.9646464646464646,0.6632996632996633,0.867003367003367,0.8451178451178452,0.7171717171717171,0.8888888888888888,0.7744107744107744,0.45286195286195285,0.11784511784511785,0.936026936026936,0.3367003367003367,0.08754208754208755,0.8148148148148148,0.7676767676767676,0.7525252525252525
2024-02-07,0.9646464646464646,0.6599326599326599,0.7845117845117845,0.8316498316498316,0.7239057239057239,0.8367003367003367,0.1919191919191919,0.4831649831649832,0.16498316498316498,0.16666666666666666,0.3653198653198653,0.09259259259259259,0.8097643097643098,0.765993265993266,0.22053872053872053
2024-02-08,0.9646464646464646,0.622895622895623,0.4595959595959596,0.8249158249158249,0.6936026936026936,0.8535353535353535,0.40235690235690236,0.4882154882154882,0.20033670033670034,0.1919191919191919,0.33164983164983164,0.08417508417508418,0.7845117845117845,0.7895622895622896,0.050505050505050504
2024-02-09,0.9646464646464646,0.622895622895623,0.41919191919191917,0.8249158249158249,0.6936026936026936,0.8047138047138047,0.6127946127946128,0.4882154882154882,0.1734006734006734,0.4831649831649832,0.33164983164983164,0.08417508417508418,0.7592592592592593,0.7828282828282829,0.5202020202020202
2024-02-12,0.9646464646464646,0.622895622895623,0.3569023569023569,0.8249158249158249,0.6936026936026936,0.8787878787878788,0.6127946127946128,0.4882154882154882,0.17003367003367004,0.4831649831649832,0.33164983164983164,0.08417508417508418,0.7592592592592593,0.7811447811447811,0.5202020202020202
2024-02-13,0.9646464646464646,0.5841750841750841,0.26262626262626265,0.8131313131313131,0.6060606060606061,0.9175084175084175,0.23905723905723905,0.494949494949495,0.17845117845117844,0.6195286195286195,0.3181818181818182,0.04713804713804714,0.6616161616161617,0.7558922558922558,0.8333333333333334
2024-02-14,0.9646464646464646,0.5117845117845118,0.13468013468013468,0.9191919191919192,0.5218855218855218,0.9023569023569024,0.877104377104377,0.5454545454545454,0.15993265993265993,0.5723905723905723,0.3148148148148148,0.006734006734006734,0.7643097643097643,0.7794612794612794,0.7441077441077442
2024-02-15,0.9696969696969697,0.5555555555555556,0.11784511784511785,0.9393939393939394,0.5572390572390572,0.9057239057239057,0.6986531986531986,0.5050505050505051,0.1632996632996633,0.9040404040404041,0.34175084175084175,0.037037037037037035,0.7693602693602694,0.7929292929292929,0.7356902356902357
2024-02-16,0.9696969696969697,0.5521885521885522,0.11784511784511785,0.9141414141414141,0.5572390572390572,0.8720538720538721,0.17845117845117844,0.22727272727272727,0.15488215488215487,0.2255892255892256,0.3047138047138047,0.03535353535353535,0.7053872053872053,0.803030303030303,0.08754208754208755
2024-02-19,0.9747474747474747,0.5824915824915825,0.17003367003367004,0.9461279461279462,0.5740740740740741,0.8720538720538721,0.21717171717171718,0.24579124579124578,0.2239057239057239,0.3956228956228956,0.13468013468013468,0.04040404040404041,0.6835016835016835,0.8047138047138047,0.14983164983164984
2024-02-20,0.9865319865319865,0.5673400673400674,0.17003367003367004,0.8787878787878788,0.5774410774410774,0.8939393939393939,0.82996632996633,0.27104377104377103,0.2255892255892256,0.5404040404040404,0.13973063973063973,0.021885521885521887,0.7508417508417509,0.8400673400673401,0.8872053872053872
2024-02-21,0.9865319865319865,0.5656565656565656,0.17003367003367004,0.9393939393939394,0.5858585858585859,0.9242424242424242,0.6734006734006734,0.2676767676767677,0.2053872053872054,0.7542087542087542,0.12121212121212122,0.03198653198653199,0.6734006734006734,0.8569023569023569,0.5471380471380471
2024-02-22,0.9865319865319865,0.6313131313131313,0.17003367003367004,0.8905723905723906,0.67003367003367,0.9343434343434344,0.4006734006734007,0.265993265993266,0.23905723905723905,0.25757575757575757,0.12626262626262627,0.07407407407407407,0.6161616161616161,0.8602693602693603,0.6531986531986532
2024-02-23,0.9865319865319865,0.5942760942760943,0.17003367003367004,0.8265993265993266,0.622895622895623,0.8417508417508418,0.49158249158249157,0.24915824915824916,0.20707070707070707,0.20202020202020202,0.15656565656565657,0.025252525252525252,0.7356902356902357,0.8720538720538721,0.06060606060606061
2024-02-26,0.9915824915824916,0.6346801346801347,0.19696969696969696,0.9696969696969697,0.7053872053872053,0.8905723905723906,0.8148148148148148,0.2895622895622896,0.18181818181818182,0.2946127946127946,0.12794612794612795,0.04377104377104377,0.6447811447811448,0.9057239057239057,0.9410774410774411
2024-02-27,1.0,0.6144781144781145,0.2777777777777778,0.9612794612794613,0.6666666666666666,0.8922558922558923,0.8249158249158249,0.3400673400673401,0.22895622895622897,0.632996632996633,0.12457912457912458,0.030303030303030304,0.6414141414141414,0.9040404040404041,0.1632996632996633
2024-02-28,1.0,0.6178451178451179,0.2777777777777778,0.8855218855218855,0.6851851851851852,0.8585858585858586,0.25252525252525254,0.3501683501683502,0.30303030303030304,0.40404040404040403,0.12289562289562289,0.020202020202020204,0.6885521885521886,0.898989898989899,0.2996632996632997
