,CISS,Correlation_Effect,Money_Market_Contribution,Bond_Market_Contribution,Equity_Market_Contribution,FX_Market_Contribution,Financial_Intermediaries_Contribution
2024-01-30,0.1597343104395751,0.28919940797069416,0.0507846515177318,0.04633042792110615,0.01664644147060095,0.018109507615477985,0.02786328191465823
2024-01-31,0.24001714872615362,0.4771910008759805,0.08326030729168317,0.0781638322963804,0.022317195768904768,0.017596250510097992,0.03867956285908735
2024-02-01,0.28727682660837933,0.5397818700214478,0.09581962594309909,0.0942418486951443,0.009102561045892884,0.03817007265244415,0.04994271827179895
2024-02-02,0.3103357589989771,0.5860799525044376,0.10436769474615282,0.10166625820284961,0.020689050599931806,0.028529805445128894,0.055082950004913984
2024-02-05,0.3794446042517412,0.6222639665964671,0.1034658129956352,0.10353576959671407,0.05701462987927159,0.01916810869560787,0.09626028308451251
2024-02-06,0.4470633254792837,0.6712741863839008,0.11161489844427087,0.10965277041212006,0.06022223729447475,0.06097690192222507,0.10459651740619298
2024-02-07,0.3852420029344025,0.7164389747232928,0.11501684720684228,0.1142114071003518,0.04019146131387556,0.029881827950797267,0.08594045936253553
2024-02-08,0.3791526575556805,0.7342832329540119,0.10021583415471282,0.11606545537193265,0.0534924716081169,0.02980058989279351,0.0795783065281245
2024-02-09,0.4275329441604392,0.748456118541056,0.10013072299762302,0.11586555089724951,0.06361245931613699,0.04493261015187453,0.10299160079755512
2024-02-12,0.43974573953899665,0.7692307479251475,0.09971029256410288,0.12288666585740694,0.06520516963862409,0.046179788576956586,0.10576382290190618
2024-02-13,0.4352572622226711,0.7865935285393456,0.09497486786410987,0.12247690129589588,0.047929588810379474,0.05173212076397046,0.11814378348831546
2024-02-14,0.4642759992905952,0.7984793143251825,0.08572768355037094,0.12468665178163896,0.08429140822387257,0.04766638739816436,0.1219038683365484
2024-02-15,0.484800501977593,0.8084552802944674,0.08852562597041164,0.12942555583353815,0.0737107624866569,0.06925721456822757,0.12388134311875877
2024-02-16,0.3657926628559282,0.8181357143835758,0.0894016767151024,0.1277560997502852,0.030628352207951747,0.030904283308924283,0.08710225087366459
2024-02-19,0.3833952995084593,0.819586923606764,0.09435154691099792,0.13065477882792484,0.03759319447235073,0.031235521877762004,0.0895602574194238
2024-02-20,0.47072554854794624,0.822775349643148,0.09453360397248987,0.12885059719538003,0.07279642497685865,0.03857193038799244,0.13597299201522517
2024-02-21,0.4589545030510506,0.8290821089843815,0.09516501779348552,0.13533751795900192,0.0633812067576593,0.05023892712114465,0.11483183341975921
2024-02-22,0.43273368466297996,0.8345980323237654,0.09945743836573259,0.13877127485180993,0.05047934135921145,0.025521153995735162,0.11850447609049082
2024-02-23,0.3943427295360541,0.8397602535846781,0.09799563161561507,0.12820623095761585,0.053151773217332644,0.021525052031175565,0.09346404171431495
2024-02-26,0.48434476618325434,0.8414544326562591,0.10226107270392537,0.1438844510477988,0.07217872199176231,0.026203808639211217,0.1398167118005566
2024-02-27,0.46835651413139157,0.8458946585175081,0.10669969722952717,0.14207606743396933,0.07864585526632707,0.04450575606365305,0.09642913813791494
2024-02-28,0.4345384657599999,0.8500593034825595,0.10741615032202328,0.13761499685383768,0.05141449188011435,0.031058940262150864,0.10703388644187373
2024-02-29,0.46007258133453577,0.8536390510994357,0.10374185657543454,0.1332041599691981,0.07667876355575595,0.04596887076746822,0.10047893046667897
