,CISS,Correlation_Effect,Money_Market_Contribution,Bond_Market_Contribution,Equity_Market_Contribution,FX_Market_Contribution,Financial_Intermediaries_Contribution
2024-01-30,0.16289893536304306,0.29421750533537927,0.05146681722446728,0.04680964816254388,0.016996967379282458,0.018696664117210705,0.028928838479538744
2024-01-31,0.24218617733994666,0.4804312090023466,0.08348567745112992,0.07821231351638434,0.02242567399618117,0.018206982848384717,0.039855529527866536
2024-02-01,0.28977833433492933,0.5426290531520582,0.0959867221693589,0.09435664066942205,0.00902814369195799,0.03893386967156883,0.0514729581326216
2024-02-02,0.31271836400836933,0.5886423315555537,0.10446616074746744,0.10167767598793218,0.021151677078426023,0.029109060416612022,0.05631378977793166
2024-02-05,0.3822202657433663,0.6246443353491001,0.1032774169710644,0.1033495884713936,0.05780937176367757,0.01977499109019682,0.09800889744703388
2024-02-06,0.44981152488338183,0.6737830993190842,0.11140191971410857,0.10937784570113385,0.06111146539173671,0.06173425739572893,0.10618603668067371
2024-02-07,0.3868604281686416,0.7188228866036052,0.11461300791599947,0.11378247887312988,0.04086202890918242,0.030646521681886814,0.08695639078844307
2024-02-08,0.3809526819688706,0.7364631365737268,0.09989690610485909,0.11555366140579099,0.054543370369007395,0.030462599987682755,0.0804961441015304
2024-02-09,0.42977055841225,0.7505375672029908,0.09998495840381845,0.11524718969529463,0.0645176140957857,0.04569997665118154,0.10432081956616963
2024-02-12,0.4423690683983253,0.7712941754608188,0.09980929826875994,0.12235550582411374,0.06612366010305346,0.046963839453246864,0.10711676474915129
2024-02-13,0.43812494485924874,0.7886795752405984,0.0950424953178445,0.12183299735374697,0.04875142377281574,0.052578638349373236,0.11991939006546824
2024-02-14,0.46690690251851086,0.8005307530304498,0.08537144830122535,0.12403370766191028,0.08555643518811858,0.048374070922579476,0.12357124044467721
2024-02-15,0.4873769883817591,0.8104222544561237,0.08820540308465263,0.12884356119371768,0.07481541089664276,0.07003995913728257,0.12547265406946345
2024-02-16,0.36649095867345466,0.8200566823471432,0.0890645039175407,0.12705904229087456,0.030888327954381137,0.03155157426015005,0.08792751025050825
