,MM1,MM2,MM3,BD1,BD2,BD3,EQ1,EQ2,EQ3,FX1,FX2,FX3,FI1,FI2,FI3
2024-01-30,0.9460370994940978,0.7639123102866779,0.924114671163575,0.8887015177065767,0.7403035413153457,0.7740303541315345,0.6458684654300169,0.1551433389544688,0.06239460370994941,0.5059021922428331,0.2934232715008432,0.1399662731871838,0.8145025295109612,0.2951096121416526,0.33558178752107926
2024-01-31,0.9460370994940978,0.7470489038785835,0.924114671163575,0.8785834738617201,0.7521079258010118,0.8263069139966274,0.6408094435075885,0.05227655986509275,0.008431703204047217,0.12647554806070826,0.2951096121416526,0.1315345699831366,0.8566610455311973,0.2917369308600337,0.06745362563237774
2024-02-01,0.9645868465430016,0.7706576728499157,0.927487352445194,0.93929173693086,0.7588532883642496,0.9207419898819561,0.10792580101180438,0.12310286677908938,0.021922428330522766,0.684654300168634,0.2478920741989882,0.1281618887015177,0.9089376053962901,0.46037099494097805,0.01854974704890388
2024-02-02,0.9645868465430016,0.7892074198988196,0.9173693086003373,0.9966273187183811,0.7841483979763912,0.821247892074199,0.03709949409780776,0.41652613827993257,0.07588532883642496,0.3406408094435076,0.2580101180438449,0.1315345699831366,0.7925801011804384,0.551433389544688,0.0657672849915683
2024-02-05,0.9645868465430016,0.6391231028667791,0.8903878583473862,0.96964586846543,0.6694772344013491,0.8566610455311973,0.8499156829679595,0.433389544688027,0.09106239460370995,0.10118043844856661,0.2917369308600337,0.06913996627318718,0.7268128161888702,0.7284991568296796,0.8650927487352446
2024-02-06,0.9645868465430016,0.6627318718381113,0.866779089376054,0.8448566610455311,0.7166947723440135,0.8887015177065767,0.7740303541315345,0.4536256323777403,0.11804384485666104,0.9376053962900506,0.3372681281618887,0.08768971332209106,0.8161888701517707,0.7689713322091062,0.7521079258010118
2024-02-07,0.9645868465430016,0.6593591905564924,0.7841483979763912,0.8313659359190556,0.7234401349072512,0.836424957841484,0.19224283305227655,0.4839797639123103,0.16526138279932545,0.16694772344013492,0.36593591905564926,0.09274873524451939,0.8111298482293423,0.7672849915682968,0.2209106239460371
2024-02-08,0.9645868465430016,0.6222596964586846,0.46037099494097805,0.8246205733558178,0.6930860033726813,0.8532883642495784,0.403035413153457,0.48903878583473864,0.20067453625632378,0.19224283305227655,0.33220910623946037,0.08431703204047218,0.7858347386172007,0.7892074198988196,0.050590219224283306
2024-02-09,0.9645868465430016,0.6222596964586846,0.41989881956155145,0.8246205733558178,0.6930860033726813,0.8043844856661045,0.612141652613828,0.48903878583473864,0.1736930860033727,0.4839797639123103,0.33220910623946037,0.08431703204047218,0.760539629005059,0.7841483979763912,0.5193929173693086
2024-02-12,0.9645868465430016,0.6222596964586846,0.357504215851602,0.8246205733558178,0.6930860033726813,0.8785834738617201,0.612141652613828,0.48903878583473864,0.1703204047217538,0.4839797639123103,0.33220910623946037,0.08431703204047218,0.760539629005059,0.7824620573355818,0.5193929173693086
2024-02-13,0.9645868465430016,0.5834738617200674,0.2630691399662732,0.8128161888701517,0.6053962900505903,0.9173693086003373,0.23946037099494097,0.4957841483979764,0.178752107925801,0.6205733558178752,0.31871838111298484,0.047217537942664416,0.6627318718381113,0.7571669477234402,0.8330522765598651
